Name_of_Agency,Type_of_Travel_Insurance_Agencies,Distribution_Channel_of_Travel_Insurance_Agencies,Name_of_the_Travel_Insurance_Products,Claim_Status,Duration_of_Travel,Destination_of_Travel,Amount_of_Sales_of_Travel_Insurance_Policies,Commission_Received_for_Travel_Insurance_Agency,Age_of_Insured
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,20,NETHERLANDS,49.5,29.7,43
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,26,THAILAND,23.0,0.0,35
C2B,Airlines,Online,Annual_Silver_Plan,no,374,SINGAPORE,216.0,54.0,62
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,1,SINGAPORE,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,BRUNEI_DARUSSALAM,23.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,8,SINGAPORE,17.0,4.25,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,JAPAN,45.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,4,MALAYSIA,39.6,23.76,62
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,INDIA,27.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,35,MALAYSIA,29.7,17.82,31
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,1,INDIA,20.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,4,SINGAPORE,20.0,0.0,60
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,137,THAILAND,39.6,23.76,46
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,INDIA,32.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,100,UNITED_KINGDOM,56.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,SINGAPORE,10.0,0.0,46
EPX,Travel_Agency,Online,Cancellation_Plan,no,113,CHINA,-15.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,29,CHINA,33.0,0.0,36
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Silver,no,10,JAPAN,33.0,21.45,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,CHINA,39.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,80,UNITED_STATES,99.0,59.4,40
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,SINGAPORE,10.0,0.0,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,7,INDONESIA,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,24,UNITED_STATES,112.0,0.0,49
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,"KOREA,_REPUBLIC_OF",11.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,26,THAILAND,34.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,10,GERMANY,109.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,88,SINGAPORE,228.5,57.13,64
RAB,Airlines,Online,Value_Plan,no,5,BRUNEI_DARUSSALAM,15.0,6.0,36
C2B,Airlines,Online,Bronze_Plan,no,26,SINGAPORE,22.1,5.53,63
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,FRANCE,53.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,PHILIPPINES,41.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,159,PHILIPPINES,20.0,0.0,35
C2B,Airlines,Online,Annual_Silver_Plan,no,457,SINGAPORE,252.85,63.21,51
EPX,Travel_Agency,Online,Cancellation_Plan,no,52,PHILIPPINES,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,137,THAILAND,21.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,12,SINGAPORE,24.05,6.01,30
C2B,Airlines,Online,Bronze_Plan,no,53,SINGAPORE,21.0,5.25,40
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,CHINA,30.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,20,"KOREA,_REPUBLIC_OF",61.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,38,CHINA,37.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,6,INDONESIA,18.0,6.3,61
JZI,Airlines,Online,Basic_Plan,no,24,THAILAND,30.0,10.5,50
EPX,Travel_Agency,Online,Cancellation_Plan,no,123,SINGAPORE,25.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,8,THAILAND,20.0,0.0,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,INDONESIA,20.0,0.0,33
TTW,Travel_Agency,Offline,Spouse_or_Parents_Comprehensive_Plan,no,365,SINGAPORE,86.0,0.0,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,THAILAND,13.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,THAILAND,112.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,3,SINGAPORE,13.5,3.38,25
JWT,Airlines,Online,Value_Plan,no,1,INDIA,62.0,24.8,99
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,39,INDONESIA,20.0,0.0,46
EPX,Travel_Agency,Online,Cancellation_Plan,no,35,UNITED_KINGDOM,60.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,INDIA,12.0,0.0,36
JZI,Airlines,Online,Value_Plan,no,70,UNITED_STATES,0.0,25.55,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,37,INDIA,11.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,17,CANADA,20.0,0.0,46
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,MALAYSIA,10.0,0.0,47
EPX,Travel_Agency,Online,Cancellation_Plan,no,36,"TAIWAN,_PROVINCE_OF_CHINA",34.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,25,SINGAPORE,38.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,9,SINGAPORE,35.5,8.88,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,HONG_KONG,19.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,165,SINGAPORE,5.08,1.43,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,38,AUSTRALIA,39.6,23.76,51
JZI,Airlines,Online,Basic_Plan,no,32,MYANMAR,22.0,7.7,22
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,35,HONG_KONG,21.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,CHINA,31.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,14,VIETNAM,20.0,0.0,20
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,8,THAILAND,20.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,1,HONG_KONG,35.0,0.0,35
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,yes,107,UNITED_KINGDOM,88.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,THAILAND,38.0,0.0,43
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,21,AUSTRALIA,46.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,THAILAND,25.0,0.0,44
EPX,Travel_Agency,Online,Cancellation_Plan,no,26,HONG_KONG,17.0,0.0,36
C2B,Airlines,Online,Silver_Plan,yes,7,SINGAPORE,25.0,6.25,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,80,UNITED_STATES,13.0,0.0,56
C2B,Airlines,Online,Bronze_Plan,no,52,SINGAPORE,47.0,11.75,27
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,3,MALAYSIA,29.7,17.82,28
EPX,Travel_Agency,Online,Cancellation_Plan,yes,38,THAILAND,13.0,0.0,30
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,130,NEW_ZEALAND,79.2,47.52,47
KML,Travel_Agency,Online,Value_Plan,no,26,NETHERLANDS,75.0,28.5,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,29,INDONESIA,78.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,47,INDIA,36.0,0.0,36
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Gold,no,12,PHILIPPINES,25.0,16.25,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,30,SINGAPORE,46.0,0.0,36
C2B,Airlines,Online,Gold_Plan,no,17,SINGAPORE,69.0,17.25,48
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,INDIA,26.0,0.0,24
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,74,UNITED_STATES,104.0,0.0,46
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,AUSTRALIA,29.7,17.82,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,27,MALAYSIA,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,2,UNITED_STATES,19.8,11.88,30
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,51,CROATIA,20.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,33,SINGAPORE,17.25,4.31,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,53,SINGAPORE,10.0,0.0,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,49,INDONESIA,11.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,22,INDONESIA,20.0,0.0,33
C2B,Airlines,Online,Silver_Plan,no,11,SINGAPORE,37.0,9.25,50
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,MALAYSIA,11.0,0.0,44
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,7,"KOREA,_REPUBLIC_OF",78.0,0.0,36
JWT,Airlines,Online,Value_Plan,no,6,INDIA,39.0,15.6,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,JAPAN,24.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,31,INDIA,35.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,31,SINGAPORE,0.0,16.41,23
EPX,Travel_Agency,Online,Cancellation_Plan,no,38,UNITED_KINGDOM,62.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,THAILAND,24.0,0.0,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,HONG_KONG,79.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,20,SINGAPORE,63.5,15.88,26
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,10,"TAIWAN,_PROVINCE_OF_CHINA",79.2,47.52,56
JZI,Airlines,Online,Basic_Plan,no,7,INDONESIA,18.0,6.3,34
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,MALAYSIA,59.4,35.64,51
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,3,UNITED_STATES,9.9,5.94,39
LWC,Travel_Agency,Online,Annual_Travel_Protect_Silver,no,463,UNITED_STATES,229.8,149.37,56
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,97,THAILAND,28.0,0.0,46
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,13,THAILAND,30.0,10.5,70
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,VIETNAM,10.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,6,THAILAND,22.0,7.7,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,48,INDONESIA,20.0,0.0,50
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,3,VIETNAM,20.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,95,SINGAPORE,218.0,54.5,31
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,50,THAILAND,20.0,0.0,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,HONG_KONG,31.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,21,SINGAPORE,40.5,10.13,25
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,268,INDONESIA,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,52,AUSTRALIA,29.7,17.82,51
EPX,Travel_Agency,Online,Cancellation_Plan,no,281,NEW_ZEALAND,69.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,109,SINGAPORE,14.71,4.13,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,95,UNITED_STATES,79.2,47.52,31
SSI,Airlines,Online,Ticket_Protector,no,21,SINGAPORE,8.63,2.42,48
SSI,Airlines,Online,Ticket_Protector,no,24,SINGAPORE,4.36,1.22,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,221,NETHERLANDS,60.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,12,"KOREA,_REPUBLIC_OF",99.0,59.4,55
JZI,Airlines,Online,Basic_Plan,no,27,THAILAND,18.0,6.3,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,64,SWITZERLAND,69.3,41.58,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,SAUDI_ARABIA,33.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,THAILAND,21.0,0.0,36
JZI,Airlines,Online,Value_Plan,no,38,GERMANY,208.0,72.8,61
JZI,Airlines,Online,Basic_Plan,no,36,AUSTRALIA,22.0,7.7,23
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,CHINA,38.0,0.0,36
JZI,Airlines,Online,Value_Plan,no,50,CHINA,58.0,20.3,38
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,56,CHINA,112.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,79,ESTONIA,86.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,33,SINGAPORE,62.0,15.5,35
RAB,Airlines,Online,Value_Plan,no,4,BRUNEI_DARUSSALAM,15.0,6.0,53
C2B,Airlines,Online,Silver_Plan,no,13,SINGAPORE,70.85,17.71,46
JZI,Airlines,Online,Value_Plan,no,50,UNITED_STATES,73.0,25.55,28
KML,Travel_Agency,Online,Premier_Plan,no,35,INDONESIA,38.0,14.44,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,269,UNITED_STATES,54.0,0.0,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,yes,75,CHINA,63.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,INDIA,14.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,63,MALAYSIA,39.6,23.76,39
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,107,ITALY,-89.1,53.46,31
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,20,AUSTRALIA,59.4,35.64,36
C2B,Airlines,Online,Annual_Silver_Plan,yes,364,SINGAPORE,252.85,63.21,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,45,CHINA,38.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,INDONESIA,10.0,0.0,45
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,33,THAILAND,30.0,10.5,75
LWC,Travel_Agency,Online,Annual_Travel_Protect_Gold,no,365,CHINA,204.6,132.99,30
C2B,Airlines,Online,Bronze_Plan,no,25,SINGAPORE,27.0,6.75,29
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,216,SINGAPORE,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,129,JAPAN,26.0,9.1,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,46,GERMANY,51.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,3,MALAYSIA,9.9,5.94,69
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,INDONESIA,10.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,20,INDONESIA,21.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,48,CHINA,40.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,15,PHILIPPINES,22.0,7.7,48
ART,Airlines,Online,24_Protect,no,254,UNITED_ARAB_EMIRATES,30.53,10.69,48
C2B,Airlines,Online,Bronze_Plan,no,174,SINGAPORE,185.0,46.25,29
C2B,Airlines,Online,Silver_Plan,no,11,SINGAPORE,54.5,13.63,37
C2B,Airlines,Online,Bronze_Plan,no,13,SINGAPORE,16.0,4.0,27
JZI,Airlines,Online,Basic_Plan,no,89,INDONESIA,37.0,12.95,40
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,3,MALAYSIA,20.0,0.0,30
C2B,Airlines,Online,Bronze_Plan,no,19,SINGAPORE,23.5,5.88,32
EPX,Travel_Agency,Online,Cancellation_Plan,no,27,CAMBODIA,17.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,39,CHINA,31.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,39,CHINA,38.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,28,"KOREA,_REPUBLIC_OF",26.0,9.1,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,CHINA,14.0,0.0,33
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,37,VIETNAM,31.0,0.0,31
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,57,IRELAND,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,67,NETHERLANDS,70.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,43,JAPAN,0.0,29.7,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,HONG_KONG,29.0,0.0,54
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,INDONESIA,10.0,0.0,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,3,MALAYSIA,31.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,81,UNITED_STATES,19.0,0.0,57
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,AUSTRALIA,39.6,23.76,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,2,MALAYSIA,0.0,11.88,33
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,95,VIETNAM,36.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,23,HONG_KONG,23.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,16,MALAYSIA,18.0,6.3,66
C2B,Airlines,Online,Bronze_Plan,no,6,SINGAPORE,16.0,4.0,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,273,CANADA,0.0,0.0,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,22,THAILAND,20.0,0.0,39
JZI,Airlines,Online,Basic_Plan,no,23,THAILAND,22.0,7.7,33
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,yes,40,SPAIN,79.2,47.52,35
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,16,MALAYSIA,30.0,10.5,56
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,29,MALAYSIA,19.8,11.88,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,32,UNITED_STATES,13.0,0.0,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,30,PHILIPPINES,18.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,36,AUSTRALIA,39.6,23.76,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,INDIA,17.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,18,THAILAND,22.0,7.7,49
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,HONG_KONG,20.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,368,SINGAPORE,216.0,54.0,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,40,JAPAN,80.0,0.0,35
C2B,Airlines,Online,Silver_Plan,yes,11,SINGAPORE,39.0,9.75,24
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,INDIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,CHINA,10.0,0.0,48
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,MYANMAR,20.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,68,INDIA,10.0,0.0,34
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,THAILAND,29.7,17.82,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,50,INDONESIA,10.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,30,"TAIWAN,_PROVINCE_OF_CHINA",35.0,12.25,37
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,71,ISRAEL,188.1,112.86,59
EPX,Travel_Agency,Online,Cancellation_Plan,no,33,"KOREA,_REPUBLIC_OF",10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,51,THAILAND,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,27,VIETNAM,10.0,0.0,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,CHINA,23.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,21,MALAYSIA,29.7,17.82,50
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,135,ICELAND,0.0,41.58,56
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,THAILAND,10.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,141,HONG_KONG,22.0,7.7,47
SSI,Airlines,Online,Ticket_Protector,no,23,SINGAPORE,2.25,0.63,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,72,SPAIN,39.6,23.76,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,39,INDIA,35.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,PHILIPPINES,17.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,29,SOUTH_AFRICA,39.6,23.76,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,82,CHILE,112.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,68,AUSTRALIA,39.6,23.76,45
RAB,Airlines,Online,Value_Plan,no,7,BRUNEI_DARUSSALAM,15.0,6.0,39
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,115,SPAIN,0.0,71.28,31
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,21,SINGAPORE,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,75,INDONESIA,30.0,10.5,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,MALAYSIA,56.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,40,MALAYSIA,21.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,PHILIPPINES,40.0,0.0,36
ART,Airlines,Online,24_Protect,no,8,SINGAPORE,4.8,1.68,48
JWT,Airlines,Online,Value_Plan,no,11,INDIA,50.0,20.0,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,PHILIPPINES,10.0,0.0,32
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,20,UNITED_KINGDOM,9.9,5.94,73
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,MALAYSIA,0.0,17.82,45
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,90,UNITED_KINGDOM,138.6,83.16,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,5,SINGAPORE,43.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,ITALY,19.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,57,UNITED_STATES,47.0,0.0,56
ART,Airlines,Online,24_Protect,no,3,PHILIPPINES,3.62,1.27,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,INDONESIA,38.0,0.0,57
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,36,INDONESIA,29.0,0.0,35
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,3,IRELAND,39.6,23.76,48
JZI,Airlines,Online,Basic_Plan,no,14,THAILAND,22.0,7.7,45
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,5,AUSTRALIA,29.7,17.82,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,21,AUSTRALIA,112.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,16,MALAYSIA,18.0,6.3,32
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,3,MALAYSIA,20.0,0.0,49
JZI,Airlines,Online,Basic_Plan,no,31,"TAIWAN,_PROVINCE_OF_CHINA",44.0,15.4,19
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,SINGAPORE,10.0,0.0,23
EPX,Travel_Agency,Online,Cancellation_Plan,no,33,PHILIPPINES,11.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,100,UNITED_KINGDOM,89.1,53.46,55
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,CHINA,30.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,60,SINGAPORE,25.2,6.3,48
JZI,Airlines,Online,Basic_Plan,no,7,JAPAN,35.0,12.25,36
C2B,Airlines,Online,Silver_Plan,no,18,SINGAPORE,18.5,4.63,30
C2B,Airlines,Online,Bronze_Plan,no,14,SINGAPORE,33.5,8.38,26
LWC,Travel_Agency,Online,Annual_Travel_Protect_Gold,no,368,CHINA,255.75,166.24,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,87,UNITED_STATES,13.0,0.0,49
C2B,Airlines,Online,Annual_Silver_Plan,no,373,SINGAPORE,161.0,40.25,45
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,76,PHILIPPINES,22.0,0.0,36
RAB,Airlines,Online,Value_Plan,no,62,BRUNEI_DARUSSALAM,50.0,20.0,19
RAB,Airlines,Online,Value_Plan,no,26,BRUNEI_DARUSSALAM,23.0,9.2,39
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,174,UNITED_KINGDOM,69.3,41.58,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,SINGAPORE,15.0,0.0,35
C2B,Airlines,Online,Bronze_Plan,no,11,SINGAPORE,16.0,4.0,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,UNITED_STATES,0.0,0.0,45
JWT,Airlines,Online,Value_Plan,no,11,INDIA,31.0,12.4,99
JZI,Airlines,Online,Basic_Plan,no,5,MALAYSIA,18.0,6.3,68
SSI,Airlines,Online,Ticket_Protector,no,9,SINGAPORE,0.9,0.25,48
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,110,CAMBODIA,20.0,0.0,36
C2B,Airlines,Online,Silver_Plan,yes,6,SINGAPORE,22.5,5.63,56
EPX,Travel_Agency,Online,Cancellation_Plan,no,32,PHILIPPINES,36.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,4,PHILIPPINES,19.8,11.88,33
